id,eta_rs_SAEM,eta_S0_SAEM,eta_K_SAEM,eta_rs_mean,eta_S0_mean,eta_K_mean,eta_rs_mode,eta_S0_mode,eta_K_mode,eta_rs_sd,eta_S0_sd,eta_K_sd
0,0.0200803,1.85645,-21.6582,0.0180818,2.43179,-22.711,0.019711,1.74575,-24.1902,0.00934585,1.8246,10.9466
1,0.00716969,0.820979,6.01294,0.00851098,0.386326,9.51916,0.00700222,0.374597,10.1263,0.00792736,1.97435,11.7146
2,0.00820302,0.780068,-33.9098,0.00744327,0.643751,-31.8928,0.00907356,0.390736,-33.8662,0.00858832,1.98674,12.5061
3,0.0134594,1.28767,78.5051,0.0195814,-0.0762047,75.6025,0.015282,0.61416,76.5462,0.00953353,1.98468,12.1255
4,0.00482138,-1.65761,-19.5052,0.00267412,-1.15903,-19.2215,0.000251666,-0.933378,-18.6139,0.0103171,1.86782,10.8282
5,-0.0412875,0.306171,-21.096,-0.0383955,-0.443194,-27.7467,-0.0404985,-0.0367069,-24.629,0.00712239,2.10144,11.436
6,0.00691508,-1.02836,5.90863,0.00956235,-1.61957,6.4776,0.00638917,-1.29143,7.36125,0.0101739,1.94846,10.798
7,-0.0133024,0.291192,50.505,-0.0140529,0.454611,49.9279,-0.0113108,-0.408022,47.4089,0.00596753,1.64482,11.1227
8,-0.0208752,-0.52095,15.702,-0.0196278,-1.09612,18.6361,-0.0198123,-1.26915,17.5638,0.00700659,1.76042,11.0292
9,-0.00808412,-1.58038,21.8445,-0.0113825,-0.544198,23.4013,-0.00972477,-1.48729,22.7063,0.0104446,2.39071,10.1825
10,0.0249234,1.08297,48.2897,0.0233293,1.59863,49.9536,0.0226574,1.44494,48.6571,0.00938472,2.3002,9.87144
11,0.0492324,0.927399,-0.985803,0.0469679,1.35825,1.93434,0.0474429,1.22175,-1.45863,0.0100188,1.84763,10.2092
12,0.0171309,0.495164,-37.4362,0.017543,0.578858,-42.2488,0.0174234,0.268951,-39.4971,0.00901851,1.95929,12.0904
13,0.0104049,0.624898,-7.24829,0.0107222,0.774306,-5.27997,0.00992972,0.569647,-4.72998,0.00833009,1.81353,9.372
14,-0.0186681,1.54645,21.1512,-0.0190626,1.84054,23.5263,-0.0192175,1.56235,23.446,0.00852632,2.50728,9.68289
15,-0.0333669,-0.0469847,-43.7086,-0.0292942,-1.10315,-44.1161,-0.0297217,-1.199,-44.9218,0.00666821,1.89891,10.7617
16,-0.00546347,0.268501,10.5735,-0.00377046,-0.281989,8.11074,-0.00390069,-0.481258,9.29909,0.0073239,1.83812,10.7938
17,0.0150939,0.591194,15.7073,0.0148884,0.516593,15.3035,0.016477,-0.0950079,15.8336,0.00990625,2.10896,11.7423
18,-0.00285512,-2.11351,-21.0009,0.00155299,-2.89886,-22.4328,-0.000159576,-2.87726,-22.5879,0.00976367,1.68359,11.3744
19,-0.0179749,-0.125477,9.04719,-0.0225326,0.812065,9.28115,-0.0214972,0.407,8.55321,0.00735359,2.17161,10.156
20,0.0276546,1.18789,20.6995,0.0301293,0.837321,21.8201,0.0287533,0.65594,21.5943,0.00982633,2.03888,11.0019
21,-0.0339312,2.0308,70.1936,-0.0347735,1.94727,67.1204,-0.0338691,1.67709,66.3923,0.00447348,1.35464,11.8019
22,0.00155479,-1.22601,1.73019,0.00250158,-1.59716,3.00764,0.00206963,-1.76658,2.398,0.00671348,1.53294,9.30428
23,0.0203589,0.194823,-39.0528,0.0215023,-0.0481921,-41.0973,0.0176971,0.369633,-39.0005,0.00848359,1.93046,9.12439
24,0.0251402,2.08172,-23.6493,0.0273085,1.50808,-25.3012,0.0272986,1.34761,-23.9108,0.0104136,1.83833,9.74819
25,-0.00838057,-0.5652,-30.7481,-0.010196,-0.103711,-28.2667,-0.0101505,-0.243379,-29.26,0.00681528,1.58103,9.43573
26,-0.00179734,1.36665,30.6076,0.000126608,1.09087,32.7747,-0.00126441,1.13189,30.3651,0.00849325,1.99694,10.4588
27,0.00382773,-1.24264,-28.7803,0.00137607,-0.73288,-28.834,0.00431779,-1.58486,-29.6426,0.00940961,1.95445,10.1323
28,0.00168625,0.695349,0.0706705,0.00462032,0.0192885,-1.32705,0.00281354,0.129161,-0.0889692,0.00817953,1.76465,9.16796
29,-0.0385097,-1.73599,28.6238,-0.0332025,-2.7813,24.6825,-0.037602,-2.22376,28.0213,0.00866248,2.09615,11.1468
30,0.025141,1.46661,-19.2303,0.0254324,1.27893,-21.089,0.0238576,1.39093,-21.0658,0.00860872,1.7385,11.4986
31,-0.0333821,0.80798,-18.7054,-0.034019,0.971701,-15.3786,-0.0331242,0.435019,-16.675,0.00608802,2.02244,10.1899
32,-0.0692089,3.08551,-57.0484,-0.0693955,3.06165,-50.8227,-0.0678041,2.29593,-59.3195,0.00662474,3.02073,22.0871
33,-0.0163848,-1.2772,-38.3273,-0.0213668,-0.116423,-37.0561,-0.0205392,-0.500915,-38.1534,0.00661338,1.86754,10.2804
34,-0.0250791,0.711704,-21.9908,-0.0201278,-0.952328,-19.2047,-0.0243168,0.0759751,-19.0534,0.00686303,1.55941,11.4574
35,0.0267953,0.0535994,5.12101,0.02373,0.390459,6.88257,0.0250981,0.0912349,4.78102,0.00825096,1.88492,10.3371
36,0.0158253,1.03634,4.43809,0.0128326,1.38268,7.70155,0.0138295,0.927221,7.44564,0.00897701,2.1612,9.31888
37,-0.0346949,-1.20247,-2.74253,-0.0320171,-1.79766,-4.47975,-0.0340473,-1.61653,-3.80185,0.0101668,2.25175,12.0008
38,0.013508,-3.13812,10.9855,0.00957476,-2.42158,13.8625,0.007039,-2.32459,14.1104,0.00929281,1.83071,11.2371
39,-0.0274233,-3.37012,-11.7628,-0.0301134,-2.88384,-11.7307,-0.0315841,-2.76725,-12.3849,0.00736038,1.70981,11.766
40,0.0182007,0.470928,18.6134,0.0183144,0.381213,15.9149,0.0195482,-0.00233551,15.465,0.00981667,1.81105,10.7309
41,0.00780017,1.1293,17.3192,0.0120219,0.0925467,15.2632,0.00969311,0.511645,14.9999,0.00850084,1.86886,9.52173
42,0.019404,0.593795,-0.995912,0.0146911,1.64252,-1.72381,0.0173114,0.961344,-3.2333,0.00836652,1.86033,9.12561
43,0.04169,1.3728,-52.5995,0.0377373,1.71862,-49.8818,0.0378129,1.63773,-51.504,0.00893327,1.83314,9.36576
44,0.0187201,0.815259,15.959,0.0191192,0.664499,17.452,0.0193373,0.479436,16.4232,0.00958892,2.00886,10.0515
45,0.0143826,-1.6711,2.39699,0.0165385,-2.02444,4.08113,0.011409,-1.32593,3.56658,0.0109554,1.95189,9.17659
46,0.00750162,-0.637822,34.9518,0.00358581,0.292399,34.5285,0.00552269,-0.46056,36.2925,0.00697238,1.71262,11.2621
47,0.0101718,-0.833826,-24.4821,0.0122062,-1.40926,-23.346,0.0101999,-1.17547,-23.961,0.0121069,2.10668,11.2436
48,-0.00962386,-4.01719,53.4818,-0.0182153,-2.19896,54.4999,-0.00899026,-4.254,53.115,0.00539293,1.34949,12.5287
49,-0.0274741,-0.859217,-3.24553,-0.0231752,-2.03684,-2.42977,-0.0253334,-1.76705,-1.89357,0.00811448,1.77127,13.4786
